epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,118.91,0.64509,0.39753,0.91655,0.97824,0.98598,0.99086,0.82736,0.65102,0.35264,0.96041,0.0006535,0.0006535,0.0006535
72,120.417,0.64934,0.39545,0.92318,0.97539,0.97664,0.99115,0.8253,0.6444,0.36386,0.95727,0.00064855,0.00064855,0.00064855
73,121.948,0.68529,0.41595,0.9027,0.96329,0.98089,0.98916,0.82533,0.66288,0.38462,0.96837,0.0006436,0.0006436,0.0006436
74,123.471,0.64984,0.39408,0.92221,0.97217,0.97937,0.98785,0.81787,0.67288,0.38602,0.97329,0.00063865,0.00063865,0.00063865
75,125.011,0.63232,0.39498,0.90216,0.9766,0.98131,0.9877,0.80865,0.68206,0.37122,0.97722,0.0006337,0.0006337,0.0006337
76,126.55,0.64398,0.39621,0.92106,0.97194,0.97133,0.98884,0.81167,0.66637,0.36491,0.9647,0.00062875,0.00062875,0.00062875
77,128.066,0.65218,0.38176,0.91975,0.96797,0.98859,0.99,0.81259,0.67757,0.36697,0.98092,0.0006238,0.0006238,0.0006238
78,129.618,0.61886,0.37161,0.89147,0.96973,0.99065,0.99027,0.81135,0.68895,0.37088,0.98311,0.00061885,0.00061885,0.00061885
79,131.146,0.62604,0.37677,0.91834,0.96519,0.98131,0.99004,0.83401,0.64047,0.34235,0.94399,0.0006139,0.0006139,0.0006139
80,132.662,0.66134,0.39015,0.90856,0.97219,0.98014,0.9919,0.84639,0.62708,0.32776,0.9309,0.00060895,0.00060895,0.00060895
81,134.238,0.66574,0.3982,0.91975,0.98119,0.97484,0.99224,0.84569,0.64191,0.3361,0.93662,0.000604,0.000604,0.000604
82,135.824,0.63908,0.3876,0.9042,0.97197,0.98598,0.99005,0.84888,0.63834,0.33562,0.9337,0.00059905,0.00059905,0.00059905
83,137.392,0.64021,0.37924,0.89307,0.97684,0.98538,0.98929,0.84254,0.65271,0.33405,0.94079,0.0005941,0.0005941,0.0005941
84,138.912,0.63995,0.38042,0.91029,0.98584,0.97594,0.98867,0.841,0.64972,0.33931,0.93981,0.00058915,0.00058915,0.00058915
85,140.423,0.6157,0.37242,0.89986,0.98457,0.97196,0.98815,0.83889,0.63843,0.33982,0.93671,0.0005842,0.0005842,0.0005842
86,141.95,0.64436,0.38005,0.90194,0.9871,0.96729,0.98784,0.84017,0.63985,0.33325,0.93745,0.00057925,0.00057925,0.00057925
87,143.47,0.63559,0.37657,0.9031,0.97474,0.97196,0.98561,0.83891,0.6351,0.33326,0.93788,0.0005743,0.0005743,0.0005743
88,144.989,0.61842,0.36235,0.91086,0.96335,0.9827,0.99091,0.84108,0.65187,0.33175,0.94066,0.00056935,0.00056935,0.00056935
89,146.531,0.61569,0.37016,0.90546,0.97821,0.97664,0.98712,0.83541,0.65991,0.3303,0.95418,0.0005644,0.0005644,0.0005644
90,148.054,0.61007,0.36821,0.89749,0.98568,0.96524,0.98542,0.83588,0.6505,0.33412,0.94451,0.00055945,0.00055945,0.00055945
91,149.562,0.62363,0.36988,0.88423,0.98576,0.97023,0.99147,0.84577,0.64118,0.33238,0.93392,0.0005545,0.0005545,0.0005545
92,151.09,0.59518,0.35754,0.88621,0.96771,0.98026,0.9874,0.84299,0.65316,0.34914,0.94178,0.00054955,0.00054955,0.00054955
93,152.598,0.60126,0.36318,0.89716,0.97662,0.97617,0.98448,0.83691,0.65993,0.35227,0.95207,0.0005446,0.0005446,0.0005446
94,154.141,0.62928,0.36603,0.88618,0.97674,0.98096,0.98259,0.84408,0.64485,0.35189,0.94764,0.00053965,0.00053965,0.00053965
95,155.681,0.62564,0.36853,0.90455,0.97674,0.98109,0.98189,0.838,0.65204,0.34048,0.94956,0.0005347,0.0005347,0.0005347
96,157.209,0.62221,0.36994,0.89607,0.98539,0.99065,0.99227,0.84814,0.64812,0.32468,0.94286,0.00052975,0.00052975,0.00052975
97,158.73,0.63013,0.38182,0.90469,0.98583,0.99065,0.99242,0.8417,0.64754,0.31966,0.94491,0.0005248,0.0005248,0.0005248
98,160.243,0.61653,0.37558,0.89683,0.98834,0.98598,0.9924,0.83947,0.65581,0.32849,0.94626,0.00051985,0.00051985,0.00051985
99,161.784,0.61147,0.37178,0.894,0.98358,0.97664,0.99149,0.83378,0.6568,0.33446,0.94664,0.0005149,0.0005149,0.0005149
100,163.3,0.64218,0.37167,0.90034,0.9859,0.97996,0.99119,0.8283,0.64601,0.33548,0.94277,0.00050995,0.00050995,0.00050995
101,164.82,0.58793,0.35164,0.89149,0.98595,0.98379,0.98874,0.82906,0.6324,0.32693,0.93764,0.000505,0.000505,0.000505
